SubscriptionID,CustomerID,CustomerName,Email,Country,Plan,BillingCycle,SubscriptionStartDate,SubscriptionEndDate,Status,AutoRenew,PaymentMethod,DiscountPercent,AmountPaidUSD,SignupChannel,LastUpdated
SUB012535,C012535,Rohit Moore,rohitmoore12535@company.com,UAE,Premium,Monthly,25-01-2024,,Active,Yes,PayPal,0,39.99,Sales,06-02-2024
SUB016211,C016211,Kiran Sharma,kiransharma16211@company.com,Canada,Enterprise,Monthly,29-03-2022,,Active,Yes,NetBanking,0,99.99,Sales,08-06-2022
SUB011175,C011175,Olivia Johnson,oliviajohnson11175@company.com,UAE,Enterprise,Yearly,20-05-2025,15-05-2026,Cancelled,No,UPI,10,1079.89,Sales,20-07-2025
SUB011800,C011800,Liam Sharma,liamsharma11800@gmail.com,UAE,Enterprise,Quarterly,18-11-2023,16-02-2024,Cancelled,No,PayPal,10,269.97,Partner,17-01-2024
SUB017467,C017467,Amit Singh,amitsingh17467@yahoo.com,France,Basic,Monthly,20-10-2024,19-11-2024,Cancelled,No,NetBanking,10,8.99,Mobile App,09-11-2024
SUB013352,C013352,Ava Singh,avasingh13352@hotmail.com,Germany,Basic,Yearly,02-01-2024,,Active,No,NetBanking,5,113.89,Web,07-02-2024
SUB013264,C013264,Saurav Reddy,sauravreddy13264@company.com,Canada,Enterprise,Quarterly,04-09-2022,,Active,Yes,PayPal,10,269.97,Partner,14-11-2022
SUB018424,C018424,Vikram Mehta,vikrammehta18424@gmail.com,UK,Standard,Quarterly,17-05-2022,15-08-2022,Paused,No,Credit Card,10,53.97,Web,20-05-2022
SUB003206,C003206,Emma Singh,emmasingh3206@company.com,Germany,Premium,Quarterly,27-10-2024,,Active,No,NetBanking,15,101.97,Partner,13-01-2025
SUB004034,C004034,Divya Thomas,divyathomas4034@company.com,Germany,Enterprise,Monthly,11-02-2023,13-03-2023,Paused,No,Credit Card,5,94.99,Partner,04-03-2023
SUB018798,C018798,Liam Khan,liamkhan18798@outlook.com,UK,Basic,Monthly,30-12-2025,,Active,Yes,Debit Card,0,9.99,Web,03-01-2026
SUB002360,C002360,Emma Saxena,emmasaxena2360@hotmail.com,India,Enterprise,Monthly,22-08-2025,21-09-2025,Expired,No,NetBanking,0,99.99,Sales,13-11-2025
SUB017853,C017853,Saurav Jain,sauravjain17853@gmail.com,Singapore,Standard,Quarterly,23-08-2025,,Active,Yes,Credit Card,0,59.97,Web,11-11-2025
SUB011951,C011951,Liam Iyer,liamiyer11951@yahoo.com,Australia,Standard,Quarterly,18-08-2024,,Active,Yes,Credit Card,5,56.97,Web,26-10-2024
SUB015902,C015902,Noah Kapoor,noahkapoor15902@hotmail.com,India,Premium,Quarterly,29-05-2025,27-08-2025,Expired,No,Debit Card,5,113.97,Web,28-06-2025
SUB013400,C013400,Neha Das,nehadas13400@company.com,India,Enterprise,Quarterly,28-10-2025,,Active,Yes,NetBanking,20,239.98,Partner,28-12-2025
SUB017044,C017044,Noah Sharma,noahsharma17044@company.com,Australia,Basic,Monthly,14-07-2024,13-08-2024,Cancelled,No,NetBanking,0,9.99,Partner,06-09-2024
SUB000136,C000136,Rahul Thomas,rahulthomas136@yahoo.com,USA,Standard,Monthly,11-07-2023,,Active,Yes,Credit Card,5,18.99,Sales,14-07-2023
SUB001874,C001874,Sophia Nair,sophianair1874@gmail.com,Germany,Premium,Monthly,11-07-2025,,Active,Yes,Debit Card,5,37.99,Mobile App,08-08-2025
SUB015052,C015052,Pooja Mehta,poojamehta15052@gmail.com,UAE,Standard,Quarterly,10-02-2024,10-05-2024,Paused,No,PayPal,0,59.97,Mobile App,22-04-2024
SUB016383,C016383,Liam Nair,liamnair16383@gmail.com,Canada,Premium,Monthly,16-02-2024,,Active,No,UPI,20,31.99,Web,12-04-2024
SUB006646,C006646,Kunal Das,kunaldas6646@outlook.com,UK,Premium,Yearly,22-02-2023,,Active,No,Credit Card,15,407.9,Web,13-03-2023
SUB017580,C017580,Rohit Iyer,rohitiyer17580@hotmail.com,UK,Enterprise,Quarterly,12-06-2022,10-09-2022,Cancelled,No,Bank Transfer,0,299.97,Sales,06-07-2022
SUB014775,C014775,Pooja Brown,poojabrown14775@outlook.com,UK,Premium,Yearly,21-05-2022,,Active,No,UPI,0,479.88,Mobile App,08-06-2022
SUB015396,C015396,Arjun Reddy,arjunreddy15396@hotmail.com,UK,Enterprise,Yearly,17-02-2023,,Active,No,Credit Card,15,1019.9,Sales,28-02-2023
SUB001727,C001727,Kiran Patel,kiranpatel1727@company.com,UAE,Basic,Yearly,15-06-2024,10-06-2025,Cancelled,No,Credit Card,0,119.88,Web,11-09-2024
SUB003782,C003782,Divya Verma,divyaverma3782@yahoo.com,UAE,Enterprise,Yearly,13-04-2025,,Active,No,Bank Transfer,20,959.9,Mobile App,22-06-2025
SUB008105,C008105,Noah Brown,noahbrown8105@company.com,USA,Standard,Monthly,08-01-2023,,Active,Yes,Bank Transfer,10,17.99,Sales,05-04-2023
SUB009276,C009276,Sneha Johnson,snehajohnson9276@gmail.com,Singapore,Basic,Monthly,11-08-2022,,Active,Yes,Debit Card,15,8.49,Sales,16-08-2022
SUB004769,C004769,Divya Saxena,divyasaxena4769@yahoo.com,UK,Standard,Quarterly,26-01-2024,,Active,Yes,NetBanking,0,59.97,Sales,29-01-2024
SUB018641,C018641,Arjun Iyer,arjuniyer18641@yahoo.com,UAE,Basic,Monthly,18-03-2025,,Active,Yes,NetBanking,0,9.99,Web,13-04-2025
SUB006784,C006784,Kiran Reddy,kiranreddy6784@hotmail.com,Singapore,Basic,Monthly,25-02-2025,,Active,Yes,Debit Card,0,9.99,Web,09-05-2025
SUB000151,C000151,Isabella Gupta,isabellagupta151@hotmail.com,Australia,Basic,Yearly,18-12-2024,13-12-2025,Cancelled,No,Debit Card,5,113.89,Sales,25-01-2025
SUB005201,C005201,Ananya Johnson,ananyajohnson5201@company.com,Germany,Enterprise,Yearly,11-05-2025,06-05-2026,Paused,No,Debit Card,0,1199.88,Sales,09-07-2025
SUB008281,C008281,Ava Wilson,avawilson8281@gmail.com,USA,Standard,Monthly,19-03-2023,,Active,No,NetBanking,0,19.99,Web,20-05-2023
SUB014262,C014262,Arjun Roy,arjunroy14262@company.com,Canada,Standard,Yearly,29-12-2025,24-12-2026,Cancelled,No,Bank Transfer,10,215.89,Web,04-03-2026
SUB012645,C012645,Amit Das,amitdas12645@hotmail.com,India,Premium,Yearly,13-02-2022,,Active,No,Credit Card,0,479.88,Mobile App,13-04-2022
